tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,Language,Country,Budget,Box_Office,Plot
tt0045479,The Affairs of Dobie Gillis,1953,72,"['Comedy', 'Musical', 'Romance']",6.1,900,"['nm0001666', 'nm0888399', 'nm0749539', 'nm0002080', 'nm0821288']",English,United States,,0.577,"At Grainbelt University, a Midwestern university, freshmen Dobie Gillis (Bobby Van) and Charlie Trask (Bob Fosse) court students Pansy Hammer (Debbie Reynolds) and Lorna Ellingboe (Barbara Ruick). They attend the same courses because Lorna is pursuing Dobie, who is pursuing Pansy, and Charlie is pursuing Lorna. Pansy is studious, and is encouraged by her father George (Hanley Stafford) to ""learn learn learn"" and ""work work work,"" while Dobie, Charlie and Lorna only want to have fun. Pansy's father can't stand Dobie and does everything in his power to keep them apart. Dobie and Pansy manage to blow up the chemistry lab, but Dobie is spared expulsion because the officious English professor Pomfritt (Hans Conried) is misled to believe that the feckless Gillis is a literary genius. Pansy is sent to a school in New York after the chemistry lab incident. With the help of Charlie and Lorna, Dobie figures out a way of getting Pansy back to Grainbelt."
tt0046676,About Mrs. Leslie,1954,104,"['Drama', 'Romance']",7.1,760,"['nm0095804', 'nm0752813', 'nm0587684', 'nm0630132', 'nm0925429']",English,United States,,1.6,"Vivien Leslie, a Beverly Hills, California rooming house owner, reminisces in flashbacks about her past and her transition from a New York City nightclub entertainer to a dress-shop owner. She had a longtime but mostly platonic affair with the mysterious, lonely aviation industrialist George Leslie, who had originally hired her as a vacation companion on a trip to California. Though they enjoy each other's company annually at a peaceful oceanside retreat, George tells Vivien nothing of his life until she accidentally learns of his career and marriage. George, who has taken an important government job during the war, is killed, and his will decrees that Vivien may purchase a house. Vivien's neighbors and tenants include a young couple aspiring to television success and a dimwitted teenage girl."
tt0046695,Ali Baba and the Forty Thieves,1954,92,"['Comedy', 'Fantasy', 'Romance']",6.0,1602,"['nm0272794', 'nm0303636', 'nm0097449', 'nm0897430', 'nm0217612']",N/A,N/A,,,"Rich oriental lord Cassim's cheeky servant Ali Baba was sent to buy a meaty girl-slave, but brings dancer Morgiane, whom he is enamored with. When he's part of a caravan robbed by Abdel's 40 thieves, Ali hides in a camel hive and thus learns the secret of Sesame cave. With stolen loot he buys Morgiane and his own residence for him and beggar friends. Cassim not only gets him drunk to learn his secret gold source but also plans to rob him at the grand wedding with Morgiane. But Abdel observed them too and invites his 40 robbers."
tt0046762,Afraid to Love,1954,95,"['Crime', 'Drama']",6.5,74,"['nm0432007', 'nm0618136', 'nm0509776', 'nm0597193', 'nm0231431']",English,United States,,,When Sir Reginald Belsize's uncle dies he leaves him a fortune on condition that he give up his current unsuitable lover Helen and marry someone else within twenty four hours. Helen agrees to this so long as the woman he picks is less attractive than she is. The woman he picks is however beautiful and cultured and he quickly falls in love with her.
tt0047794,Abbott and Costello Meet the Keystone Kops,1955,80,"['Comedy', 'Romance']",6.3,2534,"['nm0007941', 'nm0182579', 'nm0163939', 'nm0054609', 'nm0742438']",English,N/A,0.74352,,"Willie Piper is in a nickelodeon watching a silent film: ""Eliza and the Bloodhounds"" a melodrama which ends with a mother and small child escaping in a snowstorm across a frozen river from a pack of hounds. He gets thrown out for being too demonstrative in the film. His friend Harry Pierce is waiting outside, he shows him an advert in a newspaper looking for people to invest $5,000 in a motion picture studio, exactly the amount of cash they have. They are sold a deed to the West Orange Studio by a con man, Joe Gorman, on the pretext that he has two studios, one in Brooklyn and one in West Orange, New Jersey, and the travel is getting too much. It appears Gorman has sold the studio multiple times, but it is not even his studio, it is Edison's original studio. They realise that they have been swindled. Leaving the studio Willie gets his foot trapped in a railway line with a train approaching and narrowly escapes injury. They get a lift from an old man with a wagon and horses heading to California they then jump on a train but get off very prematurely. They get a second train loaded with cattle. The guard throws them off. Meanwhile, Gorman has adopted a new identity as the European film director Sergei Toumanoff. He is also travelling by train to California, with his girlfriend, Leota Van Cleef, who hopes to be a film star. Meanwhile, Harry and Willie are trying to catch up with Gorman across the country in hope of getting their money back. A group of hobos find them sleeping by a campfire, and swap clothes, so they continue, dressed as hobos. They re-encounter the old man and wagon and con him into giving them $20 which they use to try pay to get on a freight train. They play dice with the train guards and win their uniforms. They do not realise how close they are to Los Angeles and stumble onto the set of the western film that Toumanoff happens to be directing. They think they are under attack by Indians, but are saved by the cavalry. Then they are left on a runaway wagon. Leota rides up dressed as a squaw. Toumanoff is furious with the interruption, but the head of the movie studio, Mr. Snavely, hires Harry and Willie because he is impressed with their ""stunt work"". Harry and Willie fail to recognise Gorman. Willie has to dress as a woman, to be Leota's stunt double during a dangerous stunt flying in a biplane. But Toumanoff is plotting to dispose of Harry and Willie before they can learn his true identity. They take off without a pilot. Toumanoff's henchman, Hinds, has sabotaged their parachute and arranged for live bullets to be fired from the other plane in the scene, but Harry and Willie manage to avoid harm. After viewing the film rushes of the airplane stunt, they decide they have accidentally created a good comedy film. Snavely decides that Harry and Willie are a great comedy team, and assigns a visibly annoyed Toumanoff to direct them in a new film. Snavely is aware that Toumanoff is actually Gorman, and requires Gorman to repay Willie and Harry the $5000 through their wages, but must stick to comedy films. Toumanoff agrees. A burglar breaks into Toumanoff's house at the same time as Harry is trying to break in. Harry gets arrested by the real police. Willie (in Keystone outfit) bungles the arrest of the real robber. Confusion ensues. Gorman and Leota then go about robbing the studio safe of $75,000, but are discovered by Harry and Willie (now both dressed as cops), who give chase. The studio's Keystone Kops are asked by Harry and Willie, who believe they are real policemen, to assist in the chase. The Kops decide to play along, believing that they are on the same work team. Willie and Harry fall off the cop wagon and obtain a motorcycle and sidecar, creating a three vehicle chase through the woods. The chase ends at the film set where Gorman tries to escape on the biplane but is caught. Unfortunately, the stolen money is blown away by the wind generated by the airplane's propeller."
tt0047795,Abbott and Costello Meet the Mummy,1955,79,"['Action', 'Adventure', 'Comedy']",6.2,6872,"['nm0007941', 'nm0182579', 'nm0934798', 'nm0030516', 'nm0786811']",English,United States,0.72625,,"Two Americans, Abbott and Costello, who are stranded in Cairo, Egypt, overhear Dr. Gustav Zoomer discussing the mummy Klaris, the guardian of the Tomb of Princess Ara. Apparently, the mummy has a sacred medallion that shows where the treasure of Princess Ara can be found. The followers of Klaris, led by Semu, overhear the conversation along with Madame Rontru, a businesswoman interested in stealing the treasure of Princess Ara. Abbott and Costello go to the doctor's house to apply for the position to accompany the mummy back to America. However, two of Semu's men, Iben and Hetsut, murder the doctor and steal the mummy just before Abbott and Costello arrive. The medallion has been left behind, though, and is found by Abbott and Costello, who attempt to sell it. Rontru offers them $100, but Abbott suspects it is worth much more and asks for $5,000, which Rontru agrees to pay. Rontru tells them to meet her at the Cafe Bagdad, where Abbott and Costello learn from a waiter that the medallion is cursed. They frantically try to give it to one another, until it winds up in Costello's hamburger and he eats it. Rontru arrives and drags them to a doctor's office to get a look at the medallion under a fluoroscope. However, she cannot read the medallion's inscribed instructions, which are in hieroglyphics. Semu arrives, posing as an archaeologist, and offers to guide them all to the tomb. Meanwhile, Semu's followers have returned life to Klaris. They arrive at the tomb, where Costello learns of Semu's plans to murder them all. Rontru captures Semu, and one of her men, Charlie, disguises himself as a mummy and enters the temple. Abbott follows suit by disguising himself as a mummy, and he and Costello rescue Semu. Eventually all three mummies are in the same place at the same time, and the dynamite that Rontru intends to use to dig up the treasure detonates, killing Klaris and revealing the treasure. Abbott and Costello convince Semu to turn the temple into a nightclub to preserve the legend of Klaris."
tt0047797,Above Us the Waves,1955,92,"['Drama', 'War']",6.6,1812,"['nm0590055', 'nm0339992', 'nm0801786', 'nm0433150', 'nm0575974']",English,United Kingdom,0.158772,,"The Royal Navy (RN) is concerned about attacks on convoys by German submarines while having to keep ""half the fleet"" guarding against the German battleship Tirpitz. Tirpitz is 60 miles from the sea inside a Norwegian fjord, and attempts by the Royal Air Force (RAF) to sink her have failed. Commander Fraser (Mills) is determined to prove that attack by human torpedoes is practical, despite scepticism from RN higher echelons. Fraser assembles and trains a force of British commando frogmen officers and ratings to use the Mk I Human Torpedo manned torpedoes (Chariots) at their Scottish base. After being refused permission to attack Tirpitz, due to the RN policy of avoiding unproven weaponry, the team manage to attach dummy limpet mines to the admiral's own ship. Their success results in Fraser's force being authorised to attack Tirpitz with the initial operation using the Chariots. The attack fails and the crew are forced to abandon ship and land in Norway. They walk to neutral Sweden from where they are returned to Scotland. For the next operation, the crews are trained to use small X-Craft submarines: X1, X2 and X3. The three craft are initially towed over the North Sea by conventional submarines and then left to penetrate the fjord where Tirpitz is anchored. They manage to approach undetected to lay their ""side-cargoes"" under the ship's hull, each containing two tons of explosive amatol. X2 is badly damaged and cannot re-surface, but the crew decide to stay on board to prevent ""giving the game away"". The other two submarines succeed in laying their mines before the crews scuttle them. They are captured by the crew of Tirpitz, to be taken away as prisoners of war. While some German crew are aggressive, attempting to machine gun the men in the water, the captain of Tirpitz salutes them as ""brave men"", providing them blankets and schnapps. The mines explode as planned, badly damaging Tirpitz. The crew of the stranded X2, hearing the explosions, attempt to escape. However, X2's side cargoes have flooded, which causes them to spontaneously explode, destroying X2 and killing her crew."
tt0047803,The African Lion,1955,75,"['Documentary', 'Family']",7.1,676,['nm0382548'],English,United States,,2.1,Experience the thrill of the hunt and the heartwarming fun of a mother lion caring for her playful cubs as wildlife experts Elma Milotte and Alfred Milotte spend three years on the plains of Africa studying the king of beasts.
tt0047811,All That Heaven Allows,1955,89,"['Drama', 'Romance']",7.6,18572,"['nm0943837', 'nm0001369', 'nm0001547', 'nm0619261', 'nm0340706']",English,United States,,3.1,"Cary Scott is an affluent widow in the town of Stoningham, in suburban New England, whose social life revolves around the weekend visits of her college-age son and daughter, her best friend's country-club activities, and a few men vying for her affection. Feeling stuck in a rut, she becomes interested in Ron Kirby, her arborist. He is an intelligent, down-to-earth, and respectful, yet passionate, younger man, and she discovers he is content with his simple life outside the materialistic society in which they live. Ron introduces Cary to his friends, Alida and Mick Anderson, who seem to have no need for wealth or status, and their exuberance provides a welcome contrast to her staid existence. Ron and Cary fall in love, and Ron proposes. Cary accepts, but she has concerns about the viability of their relationship, due to their different ages, classes, and lifestyles. These concerns are magnified when she tells her children and friends about the engagement and is met with a solid wall of disapproval, and, eventually, she breaks up with Ron. Particularly influential in her change of mind are her children's protestations against Cary's plan to sell the family home and move to Ron's tree nursery, as they will not want to visit her there. After spending most of the Christmas season alone, Cary misses her life with Ron, but she thinks she has missed her opportunity for happiness because she mistakenly believes Ron is seeing another woman. On Christmas, her daughter announces she will be getting married soon and her son says that, since he is likely going to study abroad and then work overseas, they should start thinking about selling their house, which is too big for just Cary. She is overwhelmed by how pointless her sacrifice was, and her spirits are not lifted when her children give her a television set to fill her empty life. Cary goes to see a doctor about recurrent headaches she has started having, and he suggests they are being caused by her body punishing her for ending her relationship with Ron. Leaving the appointment, she runs into Alida, and in the course of their conversation, she learns that Ron is still single. She goes to his property, but then changes her mind and leaves. Ron sees her from a precipice and excitedly, though unsuccessfully, tries to get her attention. The ground collapses out from under him, and he falls off the cliff. That night, Alida tells Cary about the accident, and she hurries over to his house. She decides she no longer wants to allow other people to dictate how she lives her life and settles in to nurse Ron back to health. When Ron regains consciousness, Cary tells him that she has come home."
tt0048924,Accused of Murder,1956,74,"['Crime', 'Film-Noir', 'Mystery']",5.6,474,"['nm0108406', 'nm0707843', 'nm0085782', 'nm0340706', 'nm0828838']",English,United States,,,Nightclub singer Ilona Vance is accused of murder because she was the last person to see crooked attorney Frank Hobart alive. Lt. Hargis attempts to prove her innocence.
tt0050095,The Abominable Snowman,1957,85,"['Adventure', 'Horror']",6.4,5684,"['nm0875861', 'nm0001088', 'nm0175015', 'nm0915077', 'nm0114533']",English,United Kingdom,,,"Dr John Rollason, his wife Helen, and their assistant Peter Fox are guests of the Lama of the monastery of Rong-ruk while on a botanical expedition to the Himalayas. A second group, led by Tom Friend accompanied by trapper Ed Shelley, photographer Andrew McNee and Sherpa guide Kusang, arrives at the monastery to search for the legendary Yeti or Abominable Snowman. Rollason, despite the objections of his wife and the Lama, decides to join Friend's expedition. Whereas Rollason is motivated by scientific curiosity to learn more about the creature, Friend seeks fame and fortune and wants to capture a live Yeti and present it to the world's press. The expedition climbs high into the mountains and finds giant footprints in the snow, evidence of the Yeti's existence. As the tensions between Rollason and Friend rise, McNee is injured by a bear trap laid by Shelley to catch the Yeti. When a Yeti is seen up close by Kusang, he cries that he has ""Seen what man must not see..."" and flees down the mountain at double speed back to the monastery, from where Helen and Fox decide to mount a rescue mission. McNee is also psychically sensitive to the Yeti's proximity, which leads to Shelley shooting and killing a Yeti. The next day McNee, hearing the haunting calls of the Yeti, hobbles from his tent and falls off a cliff. Friend hatches a plan to trap a live Yeti by having a steel net rigged to the ceiling of a cave, with Shelley waiting, as bait, to spring the trap. Rollason is against the plan, but Shelley is keen to do it, believing the Yeti know that it was he who killed the first one, and that they will now come after him, so it is better to act first. Friend has given him a rifle, but unbeknownst to Shelley, it is loaded with blanks. A Yeti does show up and as it tangles with the net, Shelley fires at it. Coming out of their hiding place nearby, Friend and Rollason find him dead, and Rollason discovers the rifle was loaded with blanks. Friend says that he knew Shelley would panic and fire the rifle, and did not want another dead creature. He says that the Yeti murdered Shelley, but Rollason points out that there are no marks on the body; he believes that the Yeti came only to retrieve their fallen comrade's body, and says that it was Shelley's intense fear, exacerbated by the rifle not firing, that caused him to have a heart attack and die, in which case Friend is responsible for his death. Friend decides to cut his losses and leave with the body of the dead Yeti. However, the Yeti telepathically plant thoughts in Rollason's mind, and then make Friend hear the dead Shelley's voice calling for help. Friend rushes outside, firing his gun and dies in a crushing avalanche that he caused. Rollason takes refuge in the cave and watches in amazement as two Yeti arrive to take away the body of their fallen compatriot. He realizes the Yeti are an intelligent species biding their time to claim the Earth for themselves after humanity has destroyed itself. The rescue party finds Rollason outside a halfway-point hut, where the Yeti have actually brought him. At the monastery Rollason asserts to the Lama that ""What I was searching for does not exist."""
tt0050097,Across the Bridge,1957,103,"['Crime', 'Drama', 'Thriller']",7.2,1263,"['nm0001768', 'nm0460864', 'nm0496866', 'nm0932529', 'nm0484762']",English,United Kingdom,,,"Businessman Carl Schaffner flees to Mexico with the police hot on his heels after embezzling company funds. He has a fortune stashed in a Mexican bank to keep it out of reach of the British authorities. While travelling by train, Schaffner drugs and switches identities with fellow train passenger Paul Scarff, who looks like him and has a Mexican passport. He throws Scarff off the train, injuring Scarff. As part of the ruse, Schaffner is forced to take possession of Scarff's dog, Dolores. The plan seems foolproof, but it backfires when Schaffner discovers that Scarff is a wanted political assassin. Schaffner tracks down Scarff, who is incapacitated by his injuries, and gets back his original passport. Schaffner arrives in Mexico and is captured by the local police, who mistake him for Scarff. Schaffner has to reveal his true identity to the local police, but at first he is not believed. He tells the Mexican police where to find the real Scarff and they pass the information to the American police, and Scarff is killed when they go to arrest him. The local Mexican police chief, who at first seemed amenable to Schaffner's approaches to bribe him, connects with Scotland Yard's Chief Inspector Hadden. They conspire to keep Schaffner trapped in the Mexican border town of Katrina, and then will try to get him to cross the bridge into the U.S., where he can be apprehended. The misanthropic Schaffner has by now grown attached to Scarff's pet spaniel. He is tricked by Hadden and the police chief into having to cross the dividing line of the bridge to recover the dog. Schaffner realises what is happening, but is determined to get the dog back. He is accidentally killed when he tries to run back across the border and a police car knocks him down."
tt0050099,Action of the Tiger,1957,93,"['Action', 'Crime', 'Drama']",5.1,458,"['nm0004496', 'nm0138987', 'nm0007042', 'nm0737924', 'nm0631307']",English,United Kingdom,0.863,1.64,"French heiress Tracy Mallambert, in search for her brother Henri after rumors that he defected during a diplomatic post, tries to bribe ship captain Carson in Athens, Greece, to smuggle her into the People's Socialist Republic of Albania. Although he refuses, she sneaks onto his ship anyways and he reluctantly agrees to transport her. She learns that he is smuggling out Greek refugee children from Northern Epirus. Carson's contact Kol Stendho abandons them in the village of Vojsev after shooting an Albanian People's Army sentry, where they find Henri in a cathedral. Carson agrees to break Henri, who was arrested and blinded by Communist authorities, and his lover Mara out of the country. Tracy and Carson take Henri, Mara, and a group of children out of the country as they begin to fall in love. The group is ambushed by bandits led by Trifon who agree to escort the rest of the group into Greece in exchange for allowing Tracy to remain with them. However, the bandits are killed attacking a fake border checkpoint and the rest are captured. Kol returns in disguise as an Albanian officer and rescues them. They finally escape a battalion of Albanian soldiers aboard Carson's yacht."
tt0050103,Affair in Havana,1957,77,"['Crime', 'Drama']",5.5,268,"['nm0001023', 'nm0000994', 'nm0788080', 'nm0493932', 'nm0671586']",English,United States,,,"Mallabee is a millionaire sugar-cane grower in Cuba who blames his wife, Lorna, for an accident that has left him in a wheelchair. Lorna has been having an affair with Nick, a piano player in a Havana nightclub. Mallabee secretly is aware of this affair, having hired a private investigator to follow his wife. The twisted mind of Mallabee has come up with a scheme in which Lorna kills him. She won't do it, but a trusted servant, Valdes, does cause his death by drowning. However, the relationship between Nick and Lorna comes to an unhappy end."
tt0050104,Affair in Reno,1956,75,"['Comedy', 'Crime', 'Mystery']",6.7,104,"['nm0526184', 'nm0802296', 'nm0001893', 'nm0338664', 'nm0001308']",English,United States,,,"During a flight to Reno, Bill Carter asks a stewardess for needle and thread, goes into the bathroom and inserts bundles of cash into the lining of his jacket. Upon landing, he calls for a taxi but is approached by Deke who says he's from The Reno Record and wants to get his view about the affair surrounding Gloria Del Monte, the daughter of Carter's employer, millionaire businessman J.B. Del Monte. Carter denies any knowledge, but Deke gets into the taxi with him and continues to talk about Gloria's impending divorce from husband number two and possible future marriage. Carter continues to provide jocular replies, but Deke points a gun and, while his cabdriver partner Pete listens, tells Carter to hand over the hundred thousand dollars in cash that he is carrying. Carter struggles with the two men and throws the briefcase, breaking a window, thus triggering an alarm and causing the men to hurry into the cab and drive off. In his hotel room, Carter receives a long-distance call from New York. It is J.B. Del Monte who tells him that, as his public relations man, Carter is expected to contact Del Monte's daughter. When Carter mentions the attempted robbery, Del Monte says that he will phone a private detective agency and have them send a bodyguard to protect Carter. In the morning, the bodyguard arrives and turns out to be a self-assured young woman, Nora Ballard. She already knows all the details and tells Carter that anybody about to tangle with the man Gloria intends to marry, professional gambler and casino owner Tony Lamarr, ought to call out the National Guard. Carter tells her that he plans to visit H.L. Denham, the lawyer handling Gloria's divorce. Denham tells Carter that he will phone Gloria and ask to contact Carter at his hotel. As Carter waits for the elevator, Deke and a henchman named Dave accost him and take his briefcase. When the elevator doors open, the operator turns out to be Nora Ballard and, when the two thugs lead Carter towards their car, Ballard runs out after them on the pretense of recognizing Carter as old acquaintance and calls out to a police officer asking for a lunch recommendation. The officer approaches and the thugs turn for a hasty retreat to their car while Bill retrieves his briefcase by pulling from under Deke's arm. As Ballard and Carter start walking, she informs him that Denham is actually Lamarr's attorney and that the obvious place to find Gloria would be at Lamarr's casino. At the casino, a drunk named James T. James from Omaha approaches their table, drinks from Carter's glass and collapses. Ballard tells Carter that the Mickey Finn was intended for him and, as Lamarr enters with Gloria, follows her to the ladies lounge where she introduces herself as Nora Wellington, one of the staff writers for women's fashion magazine Today's Star and flatters Gloria into engaging in a revealing conversation. In the meantime, as Carter puts coins into a slot machine, he is approached by Lamarr who knows all about the reason for his presence and tells Conrad Hertz, the headwaiter, to show Carter out. Ballard follows him outside and tells him that Gloria is staying under an assumed name at the Half Moon Lodge. At the lodge, however, before Carter can explain his mission to Gloria, Lamarr walks in and tells Gloria that J.B. Del Monte offered him a bribe not to marry her and that he said no. As Gloria watches, he tells Carter and Ballard to get out but, the following morning, having been instructed by Lamarr, Gloria phones Carter at his and Ballard's two-room hotel accommodation and offers to pick him up in her car for a drive and conversation. Ballard comes out of the shower and objects, but Carter leaves and discovers that Gloria is driving him to a deserted spot outside of Reno where Deke and Pete are waiting for him. She then drives off while Deke and Pete proceed to assault Carter, tearing his jacket, discovering J.B.'s hundred thousand dollars, taking the jacket with the money and driving away. As Carter walks dejectedly along the highway, Ballard drives up, offers him a seat in her car and reveals that she replaced the hundred thousand dollars with ""Michigan bankrolls"" of hundred dollar bills fronting one dollar bills for a total of one thousand. At their hotel, Lamarr is waiting and tells Carter that he intends to marry Gloria unless Carter loses J.B.'s money gambling at the casino. As Bill gambles away Gloria's father's money, Nora tells her about the scheme and Gloria goes to the casino and insists that Bill win back all the lost money. In his office, refusing to pay, Lamarr reaches for a gun, but Ballard uses judo to subdue him and collect the winnings. As Carter, Ballard and Gloria drive away from the casino, headwaiter Hertz revives Lamarr who gets into a car with Deke and Pete and orders Deke to drive after Carter's car. Ballard advises Carter to turn onto an airport-bound difficult side road where Deke loses control and plunges the pursuing car into a shallow pond. At the airport, Gloria runs to catch her flight, leaving behind her father's money. Carter is told by a police officer that he is due a speeding ticket and Ballard informs him that she will protect the money and him. They share a kiss and drive off, unbalancing the officer who was resting his foot on their bumper while writing the ticket."
tt0050105,An Affair to Remember,1957,115,"['Drama', 'Romance']",7.4,35713,"['nm0000026', 'nm0000039', 'nm0219396', 'nm0666332', 'nm0626350']",English,United States,2.1,3.85,"Nickie Ferrante, a well-known playboy, meets Terry McKay aboard the transatlantic ocean liner SS Constitution en route from Europe to New York. Each is romantically involved with someone else. After a series of meetings aboard the ship, they establish a friendship. When Terry joins Nickie on a brief visit to his grandmother Janou while the ship is anchored near her home at Villefranche-sur-Mer on the Mediterranean coast, she sees Nickie with new eyes and their feelings become deeper. During their visit, Janou tells Terry that Nickie is a talented painter but destroys most of his paintings because they don't meet his standards. As the ship returns to New York City, they agree to reunite at the top of the Empire State Building in six months' time if they have succeeded in ending their relationships and starting new careers. On the day of their rendezvous, Terry, hurrying to reach the Empire State Building, is struck down by a car while crossing a street. Gravely injured, she is rushed to the hospital. Meanwhile, Nickie, waiting for her at the observation deck at the top of the building, is unaware of the accident and, after many hours, leaves at midnight, believing that she has rejected him. After the accident, Terry, now unable to walk, refuses to contact Nickie because of her disability. Instead, she finds work as a music teacher. Nickie has pursued his painting and has his work displayed by Courbet, an art gallery owner. Six months after the accident, Terry sees Nickie with his former fiancée at the ballet. Nickie does not notice her condition because she is seated, and they both say hello. Nickie learns Terry's address and on Christmas Eve pays her a surprise visit. Although he tries to coax her to explain her actions, Terry dodges the subject, never leaving the couch on which she lies. He gives Terry a shawl that Janou, who has died, left for her. As he is leaving, Nickie mentions a painting on which he had been working when they first met, and that it was just given away to a woman who liked it but had no money. He is about to say that the woman was in a wheelchair when he pauses, suddenly suspecting why Terry has been lying still on the couch. He walks into her bedroom and sees the painting hanging on the wall, realizing that she was the woman in the wheelchair. The film ends with the two in a tight embrace as Terry says, ""If you can paint, I can walk. Anything can happen, don't you think?"""
tt0004872,Alias Jimmy Valentine,1915,65,"['Crime', 'Drama']",6.5,316,"['nm0913094', 'nm0191951', 'nm0290066', 'nm0874123', 'nm0791903']",N/A,N/A,,,"Rose Fay one day is riding in a railroad parlor car and suffers an insult by a fellow passenger, from whose brutality she is defended and saved by a handsome young stranger, who, assured that she will not be further molested, disappears from the scene. But Rose has fallen in love with her savior, and her love does not diminish by the lapse of three years. One day she is visiting Sing Sing in company of her father, the Lieutenant Governor of the State, and among the convicts she recognizes her deliverer in the person of Lee Randall alias Jimmy Valentine, who is suffering imprisonment for a crime of which he so vehemently and convincingly pleads his ignorance that the Lieutenant Governor secures his release. He is given a chance of retrieving his reputation; his appointment to a position in a bank of which Mr. Lane is president is the means. He goes straight. His old associates are after him, but he wards them off. The detectives try to pounce on him for offenses of which he may be convicted, but he adroitly proves an alibi every time. Jimmy enjoys a reputation of being the most expert safe opener known. The touch of his delicate, sensitive finger tips is irresistible. One day a little girl, sister to Rose Fay, his fiancée, is accidentally locked in the bank safe. Nobody is at hand who knows the combination that will open it. The child seems doomed to suffocation. In the crisis Lee Randall comes forward. With finger tips that have been pared to the quick for the work, he toils steadfastly and silently until he opens the safe. The child is released. But on the evidence of his marvelously nefarious skill the waiting detective arrests him. The intervention of Rose, however, secures Lee's final deliverance as the detective concedes that she has more need of him than the State of Massachusetts."
tt0007617,Aladdin and the Wonderful Lamp,1917,80,['Fantasy'],5.2,158,"['nm0139333', 'nm0877548', 'nm0179247', 'nm0656425', 'nm0705379']",N/A,N/A,,,"Aladdin is a child labourer who works for a guy that exchanges ""new lamps for old"". This guy swaps a ""new"" lamp for 2-3 replacement old lamps, then brings back the old lamps for Aladdin to polish and make look like new. One day Aladdin sees a princess riding by as he looks out the window, and he falls for her. But then he must return to his lamp polishing. As he polishes one of the old lamps, a genie comes out and offers Aladdin the opportunity to escape the drudgery of his life. Of course, Aladdin's wish is to marry the princess, but even with the genie's help he encounters a few obstacles, including that of the Sultan accidentally swallowing his lamp...."
tt0007620,Alexander den Store,1917,73,['Comedy'],5.3,54,"['nm0007306', 'nm0147761', 'nm0492280', 'nm0019263', 'nm0491497']",N/A,N/A,,,Members of the upper class regularly frequent Alexander Nyberg's elegant establishment. Affairs of the heart and misunderstandings create the comedic scenarios that accompany the guests. Based on the Gustav Esmann play of the same name.
tt0007623,Alimony,1917,60,['Drama'],6.8,19,"['nm0933773', 'nm0279508', 'nm0926475', 'nm0941637', 'nm0020109']",N/A,N/A,,,"Small town girl Kitty Traves comes to New York with the idea of getting rich fast. Beginning as a 'model' she then becomes a divorce co-respondent in hotel room frame-ups. When her songwriting boyfriend, Dan Barker, runs out of songs and money, she send him back to his loyal, true-blue fiancée, Linda Waring. She moves on to marry a wealth industrialist, with divorce and alimony her only goal."
tt0007625,All for a Husband,1917,60,['Comedy'],,,"['nm0262833', 'nm0669410', 'nm0703678', 'nm0446408', 'nm0600453']",N/A,N/A,,,"Celeste Hardin wants to set up her brother Henry, a confirmed bachelor, with her college friend Henrietta Downs, believing that she wold be a good wife for him. Henry and Henrietta discover Celeste's scheme and decide to play a tr..."
tt0007627,Alma de sacrificio,1917,70,"['Drama', 'Romance']",,,"['nm0220230', 'nm0846016', 'nm0704415', 'nm0749618', 'nm0035999']",Silent,Mexico,,,N/A
tt0007628,"Alma, Where Do You Live?",1917,60,['Comedy'],,,"['nm0534368', 'nm0488285', 'nm0628526', 'nm0227022', 'nm0574045']",N/A,N/A,,,N/A
tt0008823,All Woman,1918,60,['Drama'],,,"['nm0550615', 'nm0042422', 'nm0396768', 'nm0820821', 'nm0227021']",Silent,United States,,,"As described in a film magazine, Susan Sweeney, employed in a doll factory, learns that she has inherited a hotel in a small town in the Adirondacks. Picturing the hotel as resembling the most palatial building she has ever seen, she and two girl friends set out for the new home. Consternation reigns supreme when the young women are taken to a ramshackle building, one-half vacant and the other half decorated with persons in various stages of inebriation. The sight of two motherless children prompts Sue to remain and before long she has transferred the place into a fairly decent hotel. She is able to put the bar out of business, reforms the village drunkard, plays Cupid, and wins the love of Austin Strong."
tt0008826,Alraune,1919,80,"['Horror', 'Sci-Fi']",5.7,72,"['nm0350616', 'nm0844486', 'nm0477977', 'nm2993355', 'nm0258803']",N/A,N/A,,,"A scientist creates a beautiful ""perfect woman"", but since she is artificial, she seems soul-less and with no sense of morality, she brings ruin to all around her."
tt0009859,Ace of the Saddle,1919,60,"['Drama', 'Western']",4.6,77,"['nm0002503', 'nm0364866', 'nm0497200', 'nm3989506', 'nm0910250']",Silent,United States,,,"As described in a film magazine, Cheyenne Harry Henderson owns a cattle ranch on the border of two counties, with Yucca County controlled by outlaws and Pinkerton County law abiding. After the Yucca sheriff refuses to help stop the cattle rustling, he goes to Pinkerton Sheriff Faulkner, who is unable to help him because he lives in Yucca County. Harry meets and becomes romantically involved with Sheriff Faulkner's daughter Madeline, who is also loved by the Yucca sheriff. Because she hates guns, Harry gives up using them. While Yucca County may be lawless, no man may be shot unless he is armed, so the Yucca sheriff devises a scheme place an unloaded gun in Harry's hands and then have him killed. Harry sees through the ruse and uses the sheriff's gun to kill two men before they can shoot him. Harry then moves his house over the county border onto Pinkerton County, and with the aid of Sheriff Faulkner two rustlers are captured. Before the rustlers can be hanged, the Yucca sheriff frees them and also kidnaps Madeline. Harry then gets his guns and goes to rescue her."
